;;Paese/Location;Casi conf;Morti;Guariti;In corso
65;;Latvia;111;0;;111
66;;Croatia;110;1;4;105
67;;Portugal;102;6;5;91
68;;Uruguay;94;0;2;92
69;;Costa Rica;87;2;;85
70;;Vietnam;87;0;17;70
71;;Hungary;85;3;7;75
72;;Algeria;82;8;10;64
73;;Andorra;74;0;;74
74;;Brunei;73;0;0;73
75;;Bosnia;69;0;2;67
76;;Jordan;69;0;1;68
77;;Cyprus;67;0;;67
78;;North Macedonia;67;0;1;66
79;;Morocco;66;3;2;61
80;;Albania;64;2;0;62
81;;Malta;64;0;2;62
82;;Sri Lanka;59;0;1;58
83;;Belarus;57;0;15;42
84;;Moldova;49;1;1;47
85;;Kazakhstan;49;0;;49
86;;Lithuania;48;0;1;47
87;;Oman;48;0;13;35
88;;Palestine;48;0;17;31
89;;Cambodia;47;0;1;46
90;;Azerbaijan;44;1;10;33
91;;Georgia;43;0;1;42
92;;Venezuela;42;0;;42
93;;Tunisia;39;1;1;37
94;;New Zealand;39;0;;39
95;;Senegal;38;0;5;33
96;;Dominican Republic;34;2;;32
97;;Burkina Faso;33;1;;32
98;;Northern Cyprus;33;0;;33
99;;Uzbekistan;33;0;;33
100;;Liechtenstein;28;0;;28
101;;Ukraine;26;3;;23
102;;Honduras;24;0;;24
103;;Afghanistan;22;0;1;21
104;;Cameroon;21;0;2;19
105;;Kosovo;21;0;;21
106;;Bangladesh;20;1;;19
107;;DR Congo;18;0;;18
108;;Macau;17;0;10;7
109;;Cuba;16;1;;15
110;;Jamaica;16;1;;15
111;;Ghana;16;0;;16
112;;Bolivia;15;0;;15
113;;Maldives;13;0;;13
114;;Montenegro;13;0;;13
115;;Paraguay;13;0;;13
116;;Nigeria;12;0;0;12
117;;French Polynesia;11;0;;11
118;;Monaco;11;0;1;10
119;;Rwanda;11;0;;11
120;;Gibraltar;10;0;2;8
121;;Jersey;10;0;;10
122;;Guatemala;9;1;;8
123;;Ethiopia;9;0;;9
124;;Ivory Coast;9;0;;9
125;;Togo;9;0;1;8
126;;Trinidad and Tobago;9;0;;9
127;;Kenya;7;0;;7
128;;Mauritius;7;0;;7
129;;Seychelles;7;0;;7
130;;Equatorial Guinea;6;0;;6
131;;Mongolia;6;0;;6
132;;Tanzania;6;0;;6
133;;Aruba;5;0;1;4
134;;Barbados;5;0;;5
135;;Guyana;5;0;;5
136;;Suriname;4;0;;4
137;;Cayman Islands;3;1;;2
138;;Curaçao;3;1;;2
139;;Bahamas;3;0;;3
140;;Congo Republic;3;0;;3
141;;Gabon;3;0;;3
142;;Kyrgyzstan;3;0;;3
143;;Namibia;3;0;;3
144;;Benin;2;0;;2
145;;Bhutan;2;0;;2
146;;Greenland;2;0;;2
147;;Guinea;2;0;;2
148;;Haiti;2;0;;2
149;;Liberia;2;0;;2
150;;Mauritania;2;0;;2
151;;New Caledonia;2;0;;2
152;;Saint Lucia;2;0;;2
153;;Zambia;2;0;0;2
154;;Sudan;1;1;;0
155;;Antigua and Barbuda;1;0;0;1
156;;Central African Republic;1;0;;1
157;;Chad;1;0;;1
158;;Djibouti;1;0;;1
159;;El Salvador;1;0;;1
160;;Eswatini;1;0;;1
161;;Fiji;1;0;0;1
162;;Gambia;1;0;;1
163;;Guernsey;1;0;;1
164;;Isle of Man;1;0;;1
165;;Montserrat;1;0;;1
166;;Nepal;1;0;1;0
167;;Nicaragua;1;0;;1
168;;Niger;1;0;;1
169;;Saint Vincent and the Grenadines;1;0;;1
170;;Sint Maarten;1;0;0;1
171;;Somalia;1;0;;1
172;;Vatican City;1;0;;1
